23
     284.69              0
     280                75.86
     270               130.82
     235               235.16
     214.13            277.325
     195               300.79
     175               313.35
     141.3             321
     115.62            321
     110               329.515
     110               355
      88.5             355
      88.5             329.515
      82.88            321
    -744.41            321
    -780               312.485
    -797               301.715
    -817.23            277.325
    -835               242.015
    -850               206.4
    -870               143.545
    -880                96.475
    -888.11              0


14
  279.89                 0 
  270                  108.481 
  240                  210.995 
  211.14               273.228
  175                  308.572
  141.3                316.65 
  141.0                316.99  
 -744.41               316.98
 -744.44               316.7  
 -785                  304.94  
 -815                  272.55  
 -850                  193.27
 -875                   99.31 
 -883.51                 0


25
  162                    0
  160                   44.81
  155                   83.625
  150                  109.215
  143                  136.94
  135                  162.58
  117.35               208.37
  100.                 232.09
  80.                  246.24
  41.72                256
  19                   256
  14.5                 261.359
  12.5                 267
  12.5                 292
  -14                  292
  -14                  267
  -20.5                256.5
  -701.82              256.5
  -730                 251.07
  -750                 240.585
  -777.46              207.19
  -800                 147.485
  -815                  84.26
  -821                  33.365
  -822.11                0



11
   157.41                0
   150                  86.61
   130                 163.17 
   114.61              202.39 
   110                 212.425
   100                 226.04
   80                  241.85
   41.72               251.77
   41.70               251.97
  -20                  251.97
  -20                    0  



8
  -20                    0
  -20                  251.97
  -701.82              251.97
  -740                 241.89
  -774.72              202.37
  -800                 131.27
  -815                  53.13
  -817.52                0


